USN,Department,Year,Skills_Already_Know,Proficiency_Already_Know,Skills_Currently_Learning,Proficiency_Currently_Learning,Skills_Want_To_Learn,Proficiency_Want_To_Learn,Total_Skills
1KG23CS037,CSE,1,SQL; Java,5; 3,CSS; Docker; HTML,1; 3; 2,Statistics; Scikit-learn; Project Management; 3D Design,2; 2; 1; 0,9
1KG23CS038,CSE,2,Java; SQL; CSS; React; Web Development; C++; Docker,5; 3; 5; 5; 3; 4; 3,Node.js; HTML; Git,2; 1; 3,Excel; Surveying,0; 1,12
1KG23CS039,CSE,3,SQL; Java; React,3; 4; 4,Git; HTML; Python; Databases,2; 2; 3; 2,Surveying; CAD,2; 2,9
1KG23CS040,CSE,4,Python; React; Web Development; Java,4; 3; 3; 4,Git; C++,3; 1,AI; HTML; Powertrain; Pandas,1; 2; 0; 1,10
1KG23CS041,CSE,1,C++; Java; HTML,4; 5; 5,Databases; CSS; React; Python,2; 1; 1; 1,Powertrain; CAD; Data Visualization,0; 0; 1,10
1KG23CS042,CSE,2,HTML; Java,3; 3,Python; SQL,3; 2,PyTorch; MATLAB,1; 1,6
1KG23CS043,CSE,3,React; SQL; CSS; Web Development; Java,3; 4; 4; 4; 4,Databases; HTML,3; 1,Machine Learning; AI,2; 1,9
1KG23CS044,CSE,4,HTML; Node.js; Docker; CSS; C++; SQL; Java,3; 4; 5; 3; 5; 5; 5,Databases; React; Python; Web Development,1; 1; 1; 1,Engine Systems; Surveying,0; 2,13
1KG23CS045,CSE,1,C++; SQL; HTML; Web Development; React,5; 4; 4; 5; 4,Databases; Git,3; 3,Reaction Engineering; MATLAB; GIS; CAD,2; 2; 0; 0,11
1KG23CS046,CSE,2,HTML; Web Development; C++; SQL; Node.js; CSS,4; 4; 3; 5; 5; 5,Java; Python; Databases; Docker,3; 1; 1; 3,Scikit-learn; Revit; Concrete Design,1; 1; 1,13
1KG23CS047,CSE,3,CSS; Git; HTML; Python; Java; SQL,5; 5; 3; 3; 4; 3,Databases; React; Docker,1; 3; 1,NumPy; 3D Design,1; 0,11
1KG23CS048,CSE,4,React; CSS; SQL; C++; HTML; Java,4; 5; 4; 5; 3; 5,Python; Docker,2; 3,Project Management; Surveying; Pandas,2; 1; 1,11
1KG23CS049,CSE,1,HTML; SQL; Node.js,3; 3; 5,CSS; Databases,3; 1,Organic Chemistry; Python; Concrete Design,2; 0; 1,8
1KG23CS050,CSE,2,Web Development; Node.js; Java,5; 5; 5,React; Databases; Git,2; 2; 2,Statistics; NumPy,2; 2,8
1KG23CS051,CSE,3,Databases; Node.js; Web Development; SQL; HTML; React; Java,4; 5; 4; 4; 4; 5; 5,Docker; Python; C++; Git,1; 3; 2; 3,GIS; Concrete Design; AutoCAD,1; 1; 1,14
1KG23CS052,CSE,4,HTML; C++; Java; Node.js; SQL,5; 4; 3; 5; 5,CSS; Python,2; 1,Automotive Design; CAD; React; Vehicle Dynamics,2; 0; 0; 1,11
1KG23CS053,CSE,1,Node.js; React; Web Development,4; 3; 4,SQL; Git,1; 3,TensorFlow; Data Visualization,1; 1,7
1KG23CS054,CSE,2,Databases; C++; Web Development; Git,5; 3; 3; 4,HTML; Java; Docker,1; 1; 2,React; GIS; CAD,0; 1; 0,10
1KG23CS055,CSE,3,HTML; React; SQL,3; 3; 5,Java; Node.js,2; 3,Concrete Design; Separation Processes,2; 2,7
1KG23CS056,CSE,4,Web Development; SQL; React,5; 5; 4,C++; Node.js,2; 2,CSS; Powertrain; Vehicle Dynamics,1; 2; 0,8
1KG23CS057,CSE,1,SQL; C++; CSS; Docker; Python; Web Development,5; 5; 3; 3; 4; 5,Node.js; Java; React; Git,3; 1; 3; 1,MATLAB; Concrete Design; Structural Analysis; Finite Element Analysis,1; 1; 1; 0,14
1KG23CS058,CSE,2,React; CSS; Web Development; Python; Node.js; C++; SQL,4; 3; 5; 5; 5; 3; 4,HTML; Git,1; 3,Databases; AutoCAD,0; 1,11
1KG23CS059,CSE,3,Java; Git; CSS; React; Docker; Node.js; C++,3; 3; 5; 3; 5; 5; 3,HTML; Web Development; Databases,2; 2; 1,Project Management; Engine Systems,1; 1,12
1KG23CS060,CSE,4,HTML; CSS; Python; Java; Docker; SQL,5; 4; 5; 3; 4; 4,Node.js; Git,2; 2,TensorFlow; Statistics; Organic Chemistry,2; 0; 0,11
1KG23CS061,CSE,1,Java; HTML; C++,5; 5; 4,Git; React,3; 1,Finite Element Analysis; Statistics; Surveying; MATLAB,1; 1; 0; 0,9
1KG23CS062,CSE,2,Git; Node.js; Java; SQL; CSS,4; 4; 5; 5; 5,HTML; React; Web Development,1; 1; 3,Docker; Python,1; 0,10
1KG23CS063,CSE,3,CSS; Web Development,3; 5,Git; React,2; 1,Organic Chemistry; Revit,2; 1,6
1KG23CS064,CSE,4,CSS; React,5; 5,C++; Java,2; 1,Docker; Node.js; AI; CAD,2; 2; 1; 2,8
1KG23CS065,CSE,1,React; SQL; Web Development; C++; HTML; CSS; Git,5; 4; 3; 3; 5; 3; 3,Docker; Databases; Java,3; 2; 3,Concrete Design; Process Control,1; 0,12
1KG23CS066,CSE,2,Node.js; C++; SQL; Web Development; CSS,5; 4; 3; 4; 3,Databases; Git; Java; HTML,2; 2; 3; 3,GIS; Docker; Separation Processes; AutoCAD,2; 0; 2; 1,13
1KG23CS067,CSE,3,CSS; Node.js; Python; C++; SQL; Web Development; HTML,4; 5; 5; 3; 4; 4; 4,Git; React; Docker,2; 3; 3,AutoCAD; Thermodynamics; Pandas; Vehicle Dynamics,2; 2; 2; 2,14
1KG23CS068,CSE,4,Databases; React; Node.js; C++,5; 5; 5; 5,HTML; Git; Python,3; 2; 3,Reaction Engineering; 3D Design; NumPy; Web Development,0; 2; 0; 0,11
1KG23CS069,CSE,1,Web Development; C++; HTML; SQL; Java,3; 3; 5; 4; 3,Node.js; Docker; CSS; Databases,3; 3; 3; 3,Git; Organic Chemistry,0; 2,11
1KG23CS070,CSE,2,SQL; React; Databases; HTML; Docker; Java,3; 5; 5; 5; 5; 4,Git; Web Development; C++; Python,1; 2; 2; 1,Structural Analysis; Project Management; AutoCAD; MATLAB,1; 0; 1; 1,14
1KG23CS071,CSE,3,HTML; Web Development; CSS; Node.js; C++; Java,5; 3; 5; 5; 5; 4,Git; Databases; Docker,1; 3; 2,Deep Learning; Project Management; AutoCAD; AI,2; 0; 1; 2,13
1KG23CS072,CSE,4,HTML; C++; Node.js; Java; SQL; Web Development,5; 5; 3; 3; 5; 4,Docker; Git; Databases,1; 3; 2,Finite Element Analysis; Organic Chemistry; Automotive Design,2; 2; 1,12
1KG23CS073,CSE,1,Docker; SQL; Node.js,4; 5; 3,Databases; HTML; C++,1; 3; 3,AI; Deep Learning,2; 2,8
1KG23CS074,CSE,2,HTML; CSS; Java,5; 3; 5,SQL; Node.js; Python; React,2; 1; 1; 1,Manufacturing; Databases,2; 0,9
1KG23CS075,CSE,3,Web Development; Node.js; HTML; SQL; React; CSS,5; 3; 5; 5; 5; 3,Git; C++; Databases; Python,3; 1; 2; 3,Machine Learning; Thermodynamics; Surveying,1; 1; 2,13
1KG23CS076,CSE,4,CSS; C++; Git,5; 4; 5,Docker; React,1; 3,SQL; MATLAB; Concrete Design; Node.js,2; 2; 1; 2,9
1KG23CS077,CSE,1,HTML; React; C++; Git; Python; SQL; Web Development; CSS,5; 5; 3; 5; 4; 5; 5; 3,Node.js; Java; Databases,1; 3; 3,TensorFlow; Revit; GIS,2; 2; 0,14
1KG23CS078,CSE,2,CSS; Node.js,4; 4,React; Docker; HTML,3; 3; 2,Organic Chemistry; Process Control; Separation Processes,1; 0; 0,8
1KG23CS079,CSE,3,HTML; Docker; SQL; Node.js; C++; Git; Web Development,4; 3; 5; 3; 4; 5; 5,Python; Databases,3; 3,Organic Chemistry; Deep Learning,0; 2,11
1KG23CS080,CSE,4,Web Development; SQL; CSS; C++,5; 5; 3; 4,Node.js; Java; HTML,3; 3; 1,GIS; Statistics; Project Management; React,2; 2; 2; 0,11
1KG23CS081,CSE,1,React; CSS; SQL; Java; C++,5; 4; 4; 4; 4,Node.js; Web Development,2; 1,3D Design; Scikit-learn; Databases; Git,2; 2; 0; 1,11
1KG23CS082,CSE,2,SQL; CSS; Web Development; Java; Node.js,4; 4; 5; 3; 5,Docker; HTML,1; 1,Databases; Deep Learning; Process Control; React,0; 1; 2; 2,11
1KG23CS083,CSE,3,React; Python; CSS,4; 3; 5,Git; Node.js,1; 1,3D Design; AutoCAD,0; 0,7
1KG23CS084,CSE,4,SQL; Node.js; CSS; Databases; C++; Docker; React; Java,5; 4; 4; 3; 3; 4; 5; 3,Python; Git; Web Development; HTML,3; 3; 2; 2,AI; SolidWorks; Reaction Engineering; GIS,0; 0; 0; 2,16
1KG23CS085,CSE,1,CSS; Node.js; C++; HTML; React; Java,3; 4; 5; 3; 5; 5,Databases; Git,3; 2,Engine Systems; 3D Design; PyTorch,0; 1; 1,11
1KG23CS086,CSE,2,CSS; Web Development; C++; React,5; 5; 4; 4,Node.js; Java,3; 1,Docker; Finite Element Analysis; Separation Processes; TensorFlow,2; 0; 2; 1,10
1KG23CS087,CSE,3,SQL; Java; C++; React; Web Development,5; 4; 5; 4; 3,CSS; Databases; Docker,1; 2; 3,Python; Automotive Design; HTML; Git,1; 2; 1; 2,12
1KG23CS088,CSE,4,SQL; C++; CSS,3; 3; 5,Java; Node.js; HTML,2; 3; 1,Process Control; Surveying,2; 1,8
1KG23CS089,CSE,1,Web Development; C++,5; 3,React; Databases; CSS; Docker,3; 1; 1; 3,Reaction Engineering; Node.js; Project Management,2; 2; 1,9
1KG23CS090,CSE,2,Git; Java; Node.js; HTML,4; 3; 5; 3,SQL; Python,2; 2,Revit; CAD; Manufacturing; CSS,0; 2; 2; 0,10
1KG23CS091,CSE,3,Node.js; Databases; SQL,3; 5; 3,Java; C++; Python,1; 2; 3,AutoCAD; AI,2; 1,8
1KG23CS092,CSE,4,Node.js; HTML; C++; Databases; Docker; Web Development,4; 5; 4; 5; 3; 4,CSS; SQL,2; 3,Soil Mechanics; Vehicle Dynamics,1; 1,10
1KG23CS093,CSE,1,SQL; C++; HTML; Java; Web Development; CSS,4; 4; 4; 3; 5; 4,Databases; Python,2; 3,Soil Mechanics; SolidWorks,0; 0,10
1KG23CS094,CSE,2,HTML; Node.js; React,3; 5; 5,C++; Databases; Git,2; 2; 3,Python; AutoCAD; Scikit-learn,1; 0; 2,9
1KG23CS095,CSE,3,Node.js; HTML; C++; CSS,5; 4; 4; 5,Databases; SQL,3; 3,Vehicle Dynamics; Separation Processes; Deep Learning,1; 2; 0,9
1KG23CS096,CSE,4,SQL; Node.js; Git; C++; Web Development,4; 3; 4; 4; 3,Java; Docker; Databases,2; 2; 2,Powertrain; GIS,2; 2,10
1KG23CS097,CSE,1,SQL; Web Development; C++; Docker,5; 3; 4; 3,Git; CSS,1; 3,Data Visualization; NumPy; Statistics; Scikit-learn,1; 2; 2; 0,10
1KG23CS098,CSE,2,HTML; SQL; CSS; Java; C++; Docker,4; 4; 4; 5; 5; 4,Node.js; Git; Databases,2; 3; 3,Pandas; CAD,0; 1,11
1KG23CS099,CSE,3,Docker; CSS; Node.js; React; SQL,4; 5; 3; 3; 5,Java; Web Development; Git,3; 2; 1,Project Management; Thermodynamics,0; 1,10
1KG23CS100,CSE,4,Node.js; SQL; Databases; Web Development; CSS,4; 3; 3; 3; 3,HTML; Java; Python; C++,1; 1; 2; 1,AI; Docker,2; 0,11
1KG23ME001,Mechanical,1,MATLAB; 3D Design; Manufacturing,5; 3; 3,Project Management; Python; Thermodynamics; Finite Element Analysis,3; 2; 2; 3,GIS; Docker,0; 0,9
1KG23ME002,Mechanical,2,Finite Element Analysis; Thermodynamics; Python; Project Management,5; 4; 3; 5,Manufacturing; SolidWorks; AutoCAD; MATLAB,3; 3; 3; 3,Java; Data Visualization; CAD,0; 0; 1,11
1KG23ME003,Mechanical,3,Manufacturing; AutoCAD; Finite Element Analysis; Thermodynamics,4; 4; 4; 5,SolidWorks; MATLAB,2; 1,NumPy; Git; Automotive Design,0; 2; 1,9
1KG23ME004,Mechanical,4,Finite Element Analysis; 3D Design; Manufacturing,4; 3; 4,AutoCAD; Python,3; 3,Databases; C++; Data Visualization; Java,0; 0; 0; 0,9
1KG23ME005,Mechanical,1,Python; SolidWorks; AutoCAD; 3D Design; Manufacturing,3; 5; 3; 3; 3,Project Management; MATLAB; Finite Element Analysis,3; 1; 1,Process Control; Node.js,1; 0,10
1KG23ME006,Mechanical,2,Finite Element Analysis; SolidWorks; Thermodynamics; Manufacturing,3; 3; 4; 4,MATLAB; AutoCAD,1; 1,Revit; Node.js; GIS,2; 0; 1,9
1KG23ME007,Mechanical,3,3D Design; SolidWorks; AutoCAD; Finite Element Analysis; MATLAB; Manufacturing,5; 5; 3; 5; 5; 5,Project Management; Thermodynamics,3; 2,Revit; Engine Systems,2; 0,10
1KG23ME008,Mechanical,4,Manufacturing; SolidWorks,4; 5,Project Management; Thermodynamics,1; 1,Statistics; CAD; SQL; TensorFlow,0; 0; 0; 1,8
1KG23ME009,Mechanical,1,3D Design; Finite Element Analysis,3; 4,Python; SolidWorks; AutoCAD; Thermodynamics,1; 2; 1; 2,Vehicle Dynamics; Reaction Engineering; React; Separation Processes,2; 1; 1; 2,10
1KG23ME010,Mechanical,2,Thermodynamics; AutoCAD; Project Management; Manufacturing,3; 5; 3; 5,3D Design; SolidWorks; Python,3; 3; 1,CSS; SQL,1; 1,9
1KG23ME011,Mechanical,3,Manufacturing; Project Management; 3D Design; Thermodynamics; AutoCAD,5; 3; 4; 5; 3,MATLAB; Python; SolidWorks; Finite Element Analysis,3; 2; 2; 2,Excel; SQL; Machine Learning; Powertrain,2; 0; 0; 0,13
1KG23ME012,Mechanical,4,SolidWorks; Finite Element Analysis; AutoCAD,5; 5; 4,3D Design; Manufacturing; Project Management; Thermodynamics,2; 1; 3; 3,Node.js; Soil Mechanics,2; 1,9
1KG23ME013,Mechanical,1,Manufacturing; AutoCAD,4; 5,MATLAB; 3D Design,2; 3,Structural Analysis; Scikit-learn,0; 0,6
1KG23ME014,Mechanical,2,AutoCAD; Thermodynamics; SolidWorks; Manufacturing; Finite Element Analysis; 3D Design,5; 3; 5; 5; 4; 5,MATLAB; Project Management; Python,1; 1; 3,Docker; TensorFlow; React,2; 2; 1,12
1KG23ME015,Mechanical,3,Thermodynamics; 3D Design; Finite Element Analysis; SolidWorks,5; 3; 5; 5,AutoCAD; Manufacturing,2; 2,Revit; Node.js; Concrete Design,1; 2; 0,9
1KG23ME016,Mechanical,4,Thermodynamics; Manufacturing; 3D Design; Python; Finite Element Analysis; MATLAB; SolidWorks; AutoCAD,4; 4; 5; 3; 3; 4; 4; 3,Project Management,3,Structural Analysis; Excel,1; 0,11
1KG23ME017,Mechanical,1,3D Design; AutoCAD; Finite Element Analysis; Thermodynamics; SolidWorks,4; 4; 4; 4; 3,Python; Project Management,3; 2,NumPy; CSS,0; 1,9
1KG23ME018,Mechanical,2,SolidWorks; 3D Design; Thermodynamics; AutoCAD; Manufacturing; Finite Element Analysis,3; 4; 4; 4; 3; 3,Python; Project Management; MATLAB,3; 2; 2,Reaction Engineering; Docker,1; 2,11
1KG23ME019,Mechanical,3,Manufacturing; SolidWorks; Finite Element Analysis,5; 5; 5,Python; MATLAB; Thermodynamics; AutoCAD,2; 2; 3; 3,GIS; Reaction Engineering,1; 1,9
1KG23ME020,Mechanical,4,SolidWorks; Python; Manufacturing; 3D Design; Thermodynamics,5; 3; 4; 3; 3,Project Management; AutoCAD,3; 1,Engine Systems; Automotive Design,2; 0,9
1KG23ME021,Mechanical,1,Finite Element Analysis; SolidWorks; Thermodynamics; AutoCAD,5; 5; 3; 3,MATLAB; 3D Design; Manufacturing; Project Management,3; 3; 1; 3,Separation Processes; Organic Chemistry; Pandas; Docker,0; 1; 0; 0,12
1KG23ME022,Mechanical,2,Thermodynamics; 3D Design; AutoCAD; SolidWorks,5; 4; 5; 5,Finite Element Analysis; MATLAB; Python,3; 2; 1,Data Visualization; Machine Learning; HTML,1; 2; 2,10
1KG23ME023,Mechanical,3,Finite Element Analysis; SolidWorks; Python,3; 3; 5,3D Design; Manufacturing; AutoCAD,3; 1; 1,Vehicle Dynamics; NumPy; Automotive Design,2; 1; 0,9
1KG23ME024,Mechanical,4,AutoCAD; Manufacturing; Thermodynamics; 3D Design,3; 5; 4; 5,MATLAB; Python; SolidWorks; Finite Element Analysis,3; 1; 2; 2,Excel; PyTorch; Powertrain; GIS,0; 2; 0; 2,12
1KG23ME025,Mechanical,1,3D Design; SolidWorks; Manufacturing; MATLAB; Project Management; AutoCAD; Finite Element Analysis; Thermodynamics,3; 5; 3; 4; 4; 4; 4; 4,Python,1,Machine Learning; SQL,0; 0,11
1KG23ME026,Mechanical,2,Python; AutoCAD; SolidWorks; Thermodynamics; Finite Element Analysis; Manufacturing; 3D Design,5; 5; 4; 3; 4; 4; 4,Project Management; MATLAB,1; 1,Node.js; NumPy; Web Development,0; 2; 2,12
1KG23ME027,Mechanical,3,Project Management; AutoCAD; SolidWorks; Python; Finite Element Analysis,4; 3; 5; 5; 4,3D Design; MATLAB; Manufacturing; Thermodynamics,2; 2; 1; 1,CAD; Reaction Engineering; Concrete Design; Git,1; 2; 2; 0,13
1KG23ME028,Mechanical,4,3D Design; Thermodynamics; Project Management; Python; Manufacturing,5; 5; 3; 4; 5,SolidWorks; AutoCAD; MATLAB,1; 3; 3,SQL; Organic Chemistry; Reaction Engineering; Vehicle Dynamics,1; 0; 0; 1,12
1KG23ME029,Mechanical,1,Manufacturing; Thermodynamics; AutoCAD; 3D Design; Finite Element Analysis; SolidWorks; Project Management,5; 4; 3; 5; 5; 4; 5,Python; MATLAB,3; 2,React; TensorFlow,2; 2,11
1KG23ME030,Mechanical,2,SolidWorks; 3D Design; Finite Element Analysis; MATLAB,5; 4; 4; 5,Thermodynamics; Python,1; 1,Databases; Node.js; PyTorch; Surveying,1; 2; 0; 2,10
1KG23ME031,Mechanical,3,Manufacturing; Finite Element Analysis; 3D Design; SolidWorks; Thermodynamics,5; 5; 5; 3; 3,AutoCAD; Python,3; 2,SQL; Concrete Design,2; 2,9
1KG23ME032,Mechanical,4,Finite Element Analysis; MATLAB; Thermodynamics; Python; 3D Design; SolidWorks; Manufacturing; AutoCAD,4; 4; 4; 4; 3; 4; 5; 3,Project Management,1,NumPy; TensorFlow,2; 1,11
1KG23ME033,Mechanical,1,SolidWorks; Finite Element Analysis; Thermodynamics; Manufacturing; AutoCAD; 3D Design; Project Management,4; 5; 5; 5; 4; 3; 5,MATLAB; Python,2; 1,Databases; HTML; Soil Mechanics; Node.js,0; 0; 1; 2,13
1KG23ME034,Mechanical,2,Python; Finite Element Analysis; SolidWorks,4; 4; 5,Project Management; Thermodynamics; MATLAB; 3D Design,2; 2; 1; 2,CSS; CAD; Vehicle Dynamics,0; 0; 2,10
1KG23ME035,Mechanical,3,Thermodynamics; Manufacturing; 3D Design; AutoCAD,4; 3; 5; 3,Python; SolidWorks; Project Management,2; 2; 2,Engine Systems; CSS; NumPy; CAD,2; 2; 1; 2,11
1KG23ME036,Mechanical,4,SolidWorks; Manufacturing; Finite Element Analysis; 3D Design; Thermodynamics; AutoCAD,5; 5; 4; 3; 5; 3,MATLAB; Project Management; Python,2; 2; 1,C++; Revit; Statistics,1; 0; 2,12
1KG23ME037,Mechanical,1,Thermodynamics; MATLAB; AutoCAD; SolidWorks; 3D Design,3; 4; 4; 5; 5,Finite Element Analysis; Python; Project Management,3; 3; 1,Concrete Design; Statistics,1; 2,10
1KG23ME038,Mechanical,2,3D Design; Finite Element Analysis; Manufacturing; Thermodynamics; SolidWorks; AutoCAD,5; 3; 4; 3; 3; 4,MATLAB; Project Management; Python,3; 1; 2,React; NumPy,0; 0,11
1KG23ME039,Mechanical,3,Manufacturing; SolidWorks; 3D Design; Finite Element Analysis; AutoCAD; Thermodynamics,4; 5; 4; 5; 4; 3,Python; Project Management,3; 1,Revit; Engine Systems,0; 1,10
1KG23ME040,Mechanical,4,Manufacturing; Thermodynamics; Finite Element Analysis; SolidWorks; 3D Design,3; 5; 4; 3; 4,MATLAB; AutoCAD; Python,1; 1; 3,Java; Organic Chemistry; React,2; 2; 1,11
1KG23ME041,Mechanical,1,Manufacturing; 3D Design; Finite Element Analysis; AutoCAD,3; 4; 4; 5,Python; Thermodynamics; MATLAB; SolidWorks,2; 3; 3; 1,Powertrain; Statistics; Organic Chemistry,2; 1; 0,11
1KG23ME042,Mechanical,2,SolidWorks; Finite Element Analysis; 3D Design; Manufacturing; Thermodynamics; AutoCAD,5; 5; 3; 3; 5; 5,MATLAB; Project Management,1; 3,Surveying; Excel; CAD; Machine Learning,1; 0; 1; 1,12
1KG23ME043,Mechanical,3,3D Design; Project Management; AutoCAD,4; 5; 5,Finite Element Analysis; Thermodynamics,1; 3,Node.js; GIS; Reaction Engineering; Data Visualization,1; 1; 2; 2,9
1KG23ME044,Mechanical,4,Thermodynamics; Finite Element Analysis; Python; 3D Design; Project Management; Manufacturing; SolidWorks,3; 4; 5; 3; 3; 5; 5,AutoCAD; MATLAB,1; 1,Reaction Engineering; Excel; Organic Chemistry,1; 1; 1,12
1KG23ME045,Mechanical,1,Thermodynamics; SolidWorks; 3D Design; Manufacturing; Finite Element Analysis; AutoCAD; Python,3; 3; 3; 5; 3; 3; 5,MATLAB; Project Management,1; 1,Web Development; Surveying; PyTorch; Deep Learning,1; 2; 1; 2,13
1KG23ME046,Mechanical,2,Manufacturing; Project Management; Finite Element Analysis; SolidWorks; Thermodynamics; AutoCAD,3; 3; 5; 4; 5; 4,MATLAB; 3D Design,3; 1,Docker; NumPy,1; 2,10
1KG23ME047,Mechanical,3,3D Design; Finite Element Analysis,5; 5,SolidWorks; Thermodynamics; AutoCAD; Project Management,3; 1; 2; 3,Statistics; PyTorch,2; 1,8
1KG23ME048,Mechanical,4,Finite Element Analysis; Thermodynamics; SolidWorks; Manufacturing; 3D Design; AutoCAD,3; 5; 4; 5; 3; 5,MATLAB; Project Management,3; 3,HTML; Data Visualization,0; 0,10
1KG23ME049,Mechanical,1,Project Management; AutoCAD; MATLAB; Finite Element Analysis; Thermodynamics; Manufacturing; SolidWorks; 3D Design,4; 5; 3; 4; 3; 5; 3; 4,Python,3,CSS; Web Development,1; 0,11
1KG23ME050,Mechanical,2,SolidWorks; Manufacturing; Thermodynamics; Finite Element Analysis; 3D Design,4; 4; 4; 4; 4,AutoCAD; MATLAB; Project Management; Python,2; 1; 3; 2,HTML; Statistics,1; 2,11
1KG23ME051,Mechanical,3,3D Design; Thermodynamics; AutoCAD; Finite Element Analysis; Python,4; 3; 4; 5; 5,MATLAB; Project Management; Manufacturing,3; 3; 3,Docker; Excel,2; 2,10
1KG23ME052,Mechanical,4,AutoCAD; MATLAB; 3D Design; Thermodynamics,5; 3; 5; 4,Python; Project Management; SolidWorks,1; 1; 1,AI; Engine Systems; Pandas; Deep Learning,2; 2; 0; 2,11
1KG23ME053,Mechanical,1,3D Design; AutoCAD,3; 5,Python; MATLAB,2; 3,Git; Organic Chemistry,1; 1,6
1KG23ME054,Mechanical,2,Python; SolidWorks; Thermodynamics; AutoCAD; 3D Design,4; 3; 4; 3; 4,MATLAB; Manufacturing,3; 2,GIS; Docker,1; 0,9
1KG23ME055,Mechanical,3,Thermodynamics; 3D Design; AutoCAD; Manufacturing; SolidWorks; Finite Element Analysis,4; 3; 5; 5; 3; 3,Project Management; MATLAB; Python,3; 2; 2,Node.js; Docker; CSS; Data Visualization,1; 1; 2; 0,13
1KG23ME056,Mechanical,4,AutoCAD; Finite Element Analysis; SolidWorks; Thermodynamics; Python; 3D Design; Manufacturing,4; 5; 4; 3; 4; 4; 5,Project Management; MATLAB,2; 3,Vehicle Dynamics; Organic Chemistry,0; 2,11
1KG23ME057,Mechanical,1,AutoCAD; Finite Element Analysis; Thermodynamics; Manufacturing,5; 5; 3; 4,Python; 3D Design; Project Management,3; 2; 1,Vehicle Dynamics; Engine Systems,1; 2,9
1KG23ME058,Mechanical,2,Manufacturing; AutoCAD,5; 5,SolidWorks; 3D Design,1; 1,SQL; PyTorch,2; 0,6
1KG23ME059,Mechanical,3,Thermodynamics; AutoCAD; Finite Element Analysis; SolidWorks; 3D Design,5; 3; 5; 3; 3,MATLAB; Project Management,3; 1,Deep Learning; Web Development,1; 2,9
1KG23ME060,Mechanical,4,3D Design; Project Management; Manufacturing; Thermodynamics; SolidWorks; AutoCAD,3; 4; 3; 5; 4; 5,Finite Element Analysis; Python,3; 1,Machine Learning; Revit,0; 0,10
1KG23ME061,Mechanical,1,Finite Element Analysis; AutoCAD; Project Management; Thermodynamics; Manufacturing; 3D Design,3; 3; 5; 4; 5; 4,Python; MATLAB; SolidWorks,3; 1; 3,AI; Vehicle Dynamics; Java,1; 0; 2,12
1KG23ME062,Mechanical,2,3D Design; SolidWorks; Project Management; AutoCAD,4; 3; 3; 3,Manufacturing; MATLAB,1; 1,Concrete Design; Engine Systems; TensorFlow; NumPy,0; 1; 1; 1,10
1KG23ME063,Mechanical,3,AutoCAD; 3D Design; Finite Element Analysis; SolidWorks; Thermodynamics; Manufacturing,5; 4; 5; 5; 4; 4,MATLAB; Project Management,1; 1,Databases; Machine Learning; C++,2; 1; 0,11
1KG23ME064,Mechanical,4,Manufacturing; Finite Element Analysis; SolidWorks; AutoCAD; Thermodynamics,3; 4; 4; 3; 4,Project Management; 3D Design; MATLAB; Python,1; 2; 1; 1,Pandas; Engine Systems; NumPy; SQL,0; 1; 1; 1,13
1KG23ME065,Mechanical,1,Project Management; Thermodynamics; Finite Element Analysis; SolidWorks,3; 4; 5; 4,MATLAB; AutoCAD,2; 2,Web Development; Databases,0; 1,8
1KG23ME066,Mechanical,2,Finite Element Analysis; Thermodynamics; SolidWorks; AutoCAD; 3D Design,4; 5; 4; 4; 5,MATLAB; Manufacturing,1; 1,Node.js; Reaction Engineering; Soil Mechanics; SQL,1; 1; 0; 2,11
1KG23ME067,Mechanical,3,AutoCAD; Manufacturing; MATLAB,5; 5; 5,Project Management; SolidWorks,1; 3,React; TensorFlow; Pandas,1; 2; 2,8
1KG23ME068,Mechanical,4,Finite Element Analysis; AutoCAD,5; 3,3D Design; Project Management; Manufacturing,3; 3; 1,AI; Git; Thermodynamics; Engine Systems,2; 2; 1; 0,9
1KG23ME069,Mechanical,1,Thermodynamics; Manufacturing,4; 4,SolidWorks; AutoCAD,3; 1,React; Finite Element Analysis; HTML; Soil Mechanics,2; 0; 2; 1,8
1KG23ME070,Mechanical,2,Thermodynamics; Manufacturing; SolidWorks; Python; AutoCAD; Finite Element Analysis; 3D Design,4; 5; 5; 3; 4; 5; 5,MATLAB; Project Management,3; 2,Structural Analysis; Soil Mechanics; Surveying; AI,0; 1; 0; 1,13
1KG23ME071,Mechanical,3,SolidWorks; AutoCAD,4; 3,3D Design; Manufacturing,1; 2,Python; Finite Element Analysis; Web Development,1; 1; 1,7
1KG23ME072,Mechanical,4,SolidWorks; Thermodynamics,5; 5,3D Design; Manufacturing; Project Management,3; 3; 2,CAD; Data Visualization; Docker,1; 1; 1,8
1KG23ME073,Mechanical,1,AutoCAD; 3D Design; Manufacturing; Thermodynamics; SolidWorks; Finite Element Analysis,4; 3; 5; 3; 5; 5,Python; MATLAB; Project Management,1; 1; 1,Excel; Pandas,0; 1,11
1KG23ME074,Mechanical,2,Finite Element Analysis; SolidWorks; Thermodynamics; Project Management; 3D Design,4; 5; 3; 5; 4,Python; Manufacturing,2; 1,Vehicle Dynamics; SQL; Node.js,2; 2; 2,10
